t1;t2;t3;t4;t5;t6;t7;t8;t9;R10;R20;R30;eps
7.06;10.39;12.02;13.23;14.07;15.1;17.38;19.02;20.58;28.8;104;37.1;9.387050842
6.05;11.46;10.9;12.96;14.68;22.51;18.08;19.69;20.06;3.4;39.4;50.7;-1.749222526
8.86;9.26;12.1;11.99;15.27;17.97;18.31;17.73;24.31;23.5;104.1;31.1;-1.185495894
9.53;9.52;11.73;12.57;18.04;22.76;22.46;24.19;22.73;25.1;13.2;25.3;-9.021769262
7.92;11.11;11.55;12.39;15.33;17.15;18.4;21.72;23.88;38.1;16.4;21.9;5.013930464
10.92;10.59;11.82;13.98;16.4;18.46;19.98;20.27;23.95;0.1;38.4;14.7;-1.594315998
9.86;9.55;11.42;15.83;15.88;18.25;21.21;23.28;21.32;49;69.6;49.1;-0.230589366
8.37;8.38;12.5;11.8;16.85;19.81;22.15;21.45;18.86;49.3;12.1;101.6;2.833137266
7.18;9.24;16.27;21.3;19.74;17.47;19.67;24.07;23.33;13.5;72.8;28.9;-10.2031361
7.99;9.81;15.72;18.84;19.23;19.3;19.02;22.9;23.95;8.4;2;90;2.160590531
8.62;10.82;13.89;13.65;16.33;21.25;21.57;20.65;19.99;3.6;26;32.8;3.424317163
6.74;12.01;10.07;14.03;17.03;18.87;21.07;20.96;21.4;67;21.1;23.8;0.888043795
9.95;13.02;10.83;13.99;14.96;17.82;17.83;20.95;26.25;69.3;48.8;55.3;6.751770427
8.51;8.08;8.54;16.05;13.9;16.45;20.43;20.5;22.88;58.6;42.6;47.9;6.515497059
9.69;13.54;16.07;19.03;16.27;20.22;20.3;23.87;22.02;2.7;27;30;4.479223691
9.37;8.1;11.82;12.86;17.32;19.44;22.3;26.39;25.67;39.6;49.1;329;-2.857049677
8.58;10.86;11.61;12.8;15.2;14.39;17.44;21.52;24.04;3.4;81.9;29;-16.09332304
7.08;8.87;9.63;12.87;14.78;17.24;17.06;19.2;24.13;38.8;52.7;110.5;6.070403587
8.11;13.99;15.88;12.2;14.41;17.82;19.22;17.63;16.79;50.8;42.3;39.4;-8.053312999
9.32;10.39;13.2;14.69;12.28;13.05;15.14;18.43;17.48;36.4;114;75.5;14.88813076
4.27;11.85;11.96;14.88;15.92;17.92;14.8;19.57;21.78;31.6;45.5;56.3;10.42957451
2.54;8.85;9.53;17.15;20.61;21.4;19.19;19.52;16.99;28.6;19;67.2;-21.02898173
5.32;10.03;11.35;14.27;11.5;14.53;15.37;17.46;18.51;18.1;67.1;34.3;8.412462025
7.96;13;11.23;11.79;15;22.8;17.07;17.34;17.91;7.5;18.2;135.7;2.753905781
8.17;9.82;10.07;10.96;15.35;16.69;16.99;16.86;22.5;12;59;81.8;-0.804650463
7.34;7.89;10.58;10.96;19.82;24.71;20.72;22.49;20.12;4.4;21.9;108.2;-10.96320671
9.34;11.33;10.66;10.49;14.49;16.23;16.71;19.86;19.67;48.9;65.2;69.3;7.477615404
9.37;9.1;11.26;13.01;14.8;17.45;20.58;18.96;24.59;1;29.5;40.9;-2.080319196
9.43;8.89;10.38;17.7;16.36;16.71;20.72;22.56;21.51;11.4;44.5;36.9;-3.73887544
7.27;6.65;13.24;12.2;16.59;19.44;22.05;20.33;18.39;38.4;35.9;129.7;0.102568316
9;11.76;17.67;20.31;19.32;18.28;20.49;23.88;21.18;17.9;22;26.2;-7.455987928
7;10.56;14.93;18.72;19.68;19.25;18.77;21.94;23.55;14.6;43.8;50.4;5.185455828
6.63;10.14;14.22;12.91;17.25;20.97;20.67;17.19;17.37;90.7;102.4;60.3;6.626899584
4.66;10.31;12.16;13.35;15.87;19.09;20.61;19.73;17.97;38.4;71.5;74.8;-0.83165666
11.57;13.92;11.7;13.97;13.76;17.4;15.78;19.95;24.46;32.8;108.4;66.7;2.709787096
10.68;7.96;10.17;15.53;12.84;17.72;19.96;19.21;22.97;32.1;12.3;15.5;-5.248769148
10.47;14.02;15.25;20.53;15.95;18.81;19.15;23.44;21.12;10.7;18.3;29.8;-3.707325392
9.01;7.87;13.41;13.75;18.75;19.8;22.05;24.31;22.52;37.1;54.8;27.6;3.134118364
7.72;8.44;11.09;13.3;13.57;12.82;18.86;22.61;22.91;6.1;82.4;36.8;-5.42443788
6.27;8.44;8.51;12.39;14.83;16.84;15.4;19.5;24.01;42.4;68.8;78.9;7.617005876
10.1;14.62;16.44;12.33;13.57;19.7;20.85;18.54;17.77;59.5;17.6;57.8;-6.245580789
9.73;11.2;13.85;15.86;13.4;13.35;15.78;20.16;18.12;59.7;75;108.3;10.98887372
4.68;12.49;13.18;15.75;16.33;18.28;16.52;21.04;23.3;5.2;17;31.6;3.623328225
3.1;9.67;9.54;16.83;21.13;22.91;19.45;19.88;17.87;39.2;0.3;66.8;-15.34221727
5.76;11.36;12.82;15.56;12.81;16.15;15.96;17.54;19.79;10.4;116.1;95.4;5.792237238
8.18;13.21;11.62;13.6;17.05;24.55;18.95;18.87;18.34;26.1;4.6;79.4;4.526691745
8.63;11;10.05;11.45;15.92;18.68;20.68;18.38;24.26;10;55.6;71.4;2.461146252
8.57;8.26;10.4;11.58;19.99;25.71;21.85;23.97;21.28;10;50.7;21;-4.804399242
10.39;12.46;11.72;11.64;15.42;17.45;17.31;21.98;21.4;92.5;42.6;37;7.27384156
8.22;9.14;11.92;12.26;15.04;18.33;22.24;19.94;25.76;0;98.7;34.1;0.764509772
10.3;9.59;11.75;18.11;17.33;17.58;22.34;23.86;22.74;7.7;127.8;69.2;-1.901035721
6.83;7.37;13.59;14.21;17.89;20.6;23.46;21.71;19.33;35.7;35.9;112.6;1.633418785
8.99;13.3;18.15;21.96;22.4;18.46;21.14;25.25;23.39;15.5;32.3;12.6;-11.43212671
9.54;11.31;14.51;19.78;19.84;21.51;19.64;22.54;24.66;6.4;72.4;60.2;-3.297672201
6.37;11.12;13.79;13.99;19.7;22.25;22.41;18.28;18.84;66;79.9;88.6;0.236782306
5.58;10.07;11.78;13.31;16.21;19.95;21.43;22.39;20.28;85.1;44;70.2;1.071236812
11.59;14.59;12.37;14.22;15.19;18.25;16.85;22.16;25.9;77;80.3;49.7;0.805691319
9.63;7.31;10.39;16.83;12.86;17.64;20.58;19.58;24.1;93.8;8.4;36.8;2.040145826
10.98;13.8;15.4;21.15;16.81;19.91;19.4;24.42;24.57;12.4;13.8;24.5;-5.925399667
9.96;9.51;14.67;15.28;19.75;20.39;23.47;25.99;23.7;512.5;793.3;749.2;3.70905484
7.38;9.1;10.92;15.02;14.62;13.95;19.91;23.38;23.66;7.1;69.5;134;-1.656490654
6.76;9.22;9.49;13.42;16.39;18.9;16.29;20.91;24.69;63.2;40.2;234.6;5.677963853
