FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
145712.txt,https://www.acsa-arch.org,24,www.acsa-arch.org,17,0,org,100,0.555555556,0.0799628,0.069624891,3,1,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,1863,9381,1,acsa-arch,100,100,0,1,1,0,0,1,0,5,0,1,1,1,0,0,0,0,1,72,34,53,161,0,198,1
717767.txt,https://www.southlandcasino.com,30,www.southlandcasino.com,23,0,com,100,1,0.5229071,0.064075127,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1122,1903,1,southlandcasino,100,100,1,0,1,0,0,1,0,2,0,1,1,1,0,1,1,0,1,110,3,4,99,0,22,1
521042.txt,https://www.7marvels.co.uk,25,www.7marvels.co.uk,18,0,uk,100,0.818181818,0.028555,0.055642237,2,2,0,0,0,10,0.4,1,0.04,0,0,0,2,0.08,1,2319,9381,1,7marvelsco,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,49,8,47,149,2,144,1
88425.txt,https://www.secrethitler.com,27,www.secrethitler.com,20,0,com,100,1,0.5229071,0.066898846,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,10022,2121,1,secrethitler,100,100,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,1,4,1,0,0,1
8028520.txt,https://perte-dimension.web.app/,31,perte-dimension.web.app,23,0,app,60.36546944,0.526315789,0.001502,0.057849216,3,1,0,0,0,20,0.645,0,0,0,0,0,3,0.097,1,108,8125,1,perte-dimensionweb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
781104.txt,https://www.groupfacilitation.net,32,www.groupfacilitation.net,25,0,net,100,1,0.0384199,0.060530096,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,244,1074,1,groupfacilitation,100,100,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,2,1,0,5,1
899970.txt,https://www.kiteman.co.uk,24,www.kiteman.co.uk,17,0,uk,100,0.8,0.028555,0.06317411,2,2,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,758,399,1,kitemanco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,6,11,35,2,1,1
561670.txt,https://www.libertarian.ca,25,www.libertarian.ca,18,0,ca,100,1,0.0101825,0.062872535,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,6816,1557,1,libertarian,100,100,1,0,1,1,0,0,0,3,0,1,0,0,0,0,1,0,0,6,1,14,70,0,12,1
15288.txt,https://www.gumtree.com.au,25,www.gumtree.com.au,18,0,au,100,0.727272727,0.0100856,0.066957378,2,2,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,8394,39134,1,gumtreecom,0,0,1,1,0,1,0,1,0,3,0,1,1,1,0,1,1,0,1,34,1,23,761,15,26,1
mw17646.txt,http://www.gmarket.system-ns.org,31,www.gmarket.system-ns.org,25,0,org,51.63883735,0.470588235,0.0799628,0.058998283,3,2,0,0,0,17,0.548,0,0,0,0,0,3,0.097,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105348.txt,https://www.ichijinsha.co.jp,27,www.ichijinsha.co.jp,20,0,jp,100,0.846153846,0.0230451,0.053199965,2,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,591,344,1,ichiinshaco,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,36,5,8,48,0,50,1
136022.txt,https://www.ags.school.nz,24,www.ags.school.nz,17,0,nz,100,0.7,0.0019933,0.06228813,2,2,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,895,16245,1,agsschool,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,15,14,38,161,0,176,1
243970.txt,https://www.mapsalud.com,23,www.mapsalud.com,16,0,com,100,1,0.5229071,0.058543573,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,776,474,1,mapsalud,100,100,1,0,0,0,0,1,0,3,0,1,1,0,0,1,0,0,1,2,5,10,2,1,14,1
753375.txt,https://www.rakennuslehti.fi,27,www.rakennuslehti.fi,20,0,fi,100,1,0.0027596,0.052936489,2,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,9234,2571,1,rakennuslehti,100,100,1,0,1,0,0,1,0,3,0,1,1,1,1,0,0,0,0,150,2,8,1016,6,1015,1
236422.txt,https://www.psd-dude.com,23,www.psd-dude.com,16,0,com,100,0.625,0.5229071,0.051959848,3,1,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,644,1463,1,psd-dude,100,100,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,11,4,8,94,0,44,1
504954.txt,https://www.ihub-tansa.jaxa.jp,29,www.ihub-tansa.jaxa.jp,22,0,jp,100,0.4,0.0230451,0.046509561,2,2,0,0,0,14,0.483,0,0,0,0,0,3,0.103,1,451,384,1,ihub-tansaaxa,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,1,4,39,0,30,1
571378.txt,https://www.shoppersshop.com,27,www.shoppersshop.com,20,0,com,100,1,0.5229071,0.058644706,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,210,541,1,shoppersshop,100,100,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,6,54,0,59,1
818187.txt,https://www.extensionmethod.net,30,www.extensionmethod.net,23,0,net,100,1,0.0384199,0.063767167,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1216,854,1,extensionmethod,100,100,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,207,0,2,1
693425.txt,https://www.ireallytrade.com,27,www.ireallytrade.com,20,0,com,100,1,0.5229071,0.06352436,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,357,1586,1,ireallytrade,100,100,1,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,27,4,9,40,5,9,1
432785.txt,https://www.broesels-buecherregal.de,35,www.broesels-buecherregal.de,28,0,de,100,0.619047619,0.0326503,0.059401794,2,1,0,0,0,21,0.6,0,0,0,0,0,2,0.057,1,982,9381,1,broesels-buecherregal,100,100,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,16,3,5,77,9,79,1
822659.txt,https://www.ijesc.org,20,www.ijesc.org,13,0,org,100,1,0.0799628,0.06448957,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,582,700,1,ijesc,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18,4,10,52,1,60,1
412992.txt,https://www.grundeinkommen.ch,28,www.grundeinkommen.ch,21,0,ch,100,1,0.0049832,0.05880511,2,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1308,8047,1,grundeinkommen,100,100,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25,17,27,123,0,142,1
8005878.txt,https://btopenworldwebmailing.square.site/,41,btopenworldwebmailing.square.site,33,0,site,50.86695835,0.785714286,0.0017656,0.055099153,4,1,0,0,0,31,0.756,0,0,0,0,0,2,0.049,1,68,80,1,btopenworldwebmailingsquare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8021157.txt,https://visualize-detalhes-online.com/luiza/?userid=13&amp;uri=xudbvbjytdk,73,visualize-detalhes-online.com,29,0,com,26.19272782,0.4,0.5229071,0.048629017,3,0,0,0,0,53,0.726,2,0.027,2,1,0,7,0.137,1,90,394,1,visualize-detalhes-onlineluiza?userid=13&amp;uri=xudbvbjytd,0,98.33333333,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,2,0
597138.txt,https://www.rusticity.com,24,www.rusticity.com,17,0,com,100,1,0.5229071,0.058895576,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,3026,2675,1,rusticity,100,100,1,0,1,1,0,1,0,22,0,1,1,0,1,1,1,0,1,35,22,37,234,19,18,1
587304.txt,https://www.esurranty.com,24,www.esurranty.com,17,0,com,100,1,0.5229071,0.062196074,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2351,19511,1,esurranty,100,100,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,13,17,13,92,18,91,1
587827.txt,https://www.hallekis.com,23,www.hallekis.com,16,0,com,100,1,0.5229071,0.059072935,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1081,654,1,hallekis,100,100,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,218,2,5,0,0,28,1
mw65631.txt,http://www.fgurb.cannca.shop,27,www.fgurb.cannca.shop,21,0,shop,57.90080738,0.583333333,0.0004041,0.05467462,4,2,0,0,0,14,0.519,0,0,0,0,0,2,0.074,0,8,41,1,fgurbcannca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433055.txt,https://www.observatoryoc.com,28,www.observatoryoc.com,21,0,com,100,1,0.5229071,0.06722817,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1867,1159,1,observatoryoc,100,100,0,0,1,0,0,0,0,6,0,1,1,1,0,0,1,0,1,16,13,45,47,0,22,1
554317.txt,https://www.creamwine.com,24,www.creamwine.com,17,0,com,100,1,0.5229071,0.069472147,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,248,456,1,creamwine,100,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,5,10,20,0,13,1
126893.txt,https://www.slow-journalism.com,30,www.slow-journalism.com,23,0,com,100,0.733333333,0.5229071,0.059473879,3,1,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,593,8047,1,slow-journalism,100,100,1,1,1,0,0,1,0,2,0,1,0,0,0,1,1,0,1,28,2,9,59,0,76,1
403739.txt,https://www.narcissisticabuserehab.com,37,www.narcissisticabuserehab.com,30,0,com,100,1,0.5229071,0.062288879,3,1,0,0,0,24,0.649,0,0,0,0,0,1,0.027,1,1397,9381,1,narcissisticabuserehab,100,100,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,32,9,25,121,1,138,1
125033.txt,https://www.mercatus.com,23,www.mercatus.com,16,0,com,100,1,0.5229071,0.068545766,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,768,9381,1,mercatus,100,100,1,1,1,0,0,1,0,9,0,1,0,1,0,0,0,0,1,14,5,17,72,0,75,1
630880.txt,https://www.dellsramada.com,26,www.dellsramada.com,19,0,com,100,1,0.5229071,0.064215317,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1563,9381,1,dellsramada,100,100,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,18,9,14,44,12,48,1
45996.txt,https://www.zadar.hr,19,www.zadar.hr,12,0,hr,100,1,0.0005731,0.047339767,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,2435,15877,1,zadar,100,100,1,0,1,0,0,1,0,3,0,1,1,0,0,0,0,0,1,89,3,7,185,5,26,1
815789.txt,https://www.discovershelby.com,29,www.discovershelby.com,22,0,com,100,1,0.5229071,0.056891785,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,1992,1378,1,disvershelby,0,0,1,0,1,0,0,1,1,2,0,1,0,1,0,0,1,0,1,0,31,15,62,0,7,1
798744.txt,https://www.enowsoftware.com,27,www.enowsoftware.com,20,0,com,100,1,0.5229071,0.064817902,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,3651,2109,1,enowsoftware,100,100,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,12,4,14,54,0,61,1
254251.txt,https://www.securitywatchplatform.com,36,www.securitywatchplatform.com,29,0,com,100,1,0.5229071,0.0568937,3,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,1304,8047,1,securitywatchplatform,100,100,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,31,22,29,50,3,63,1
mw65458.txt,http://www.bsd.fbcode.co,23,www.bsd.fbcode.co,17,0,co,60.693153,0.7,0.0059772,0.051384722,2,2,0,0,0,10,0.435,0,0,0,0,0,2,0.087,0,8,41,1,bsdfbode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778213.txt,https://www.muas.cz,18,www.muas.cz,11,0,cz,100,1,0.0036307,0.060709258,2,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,783,2303,1,muas,100,100,1,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,3,10,33,0,27,1
14836.txt,https://www.pidgin.im,20,www.pidgin.im,13,0,im,100,1,0.0001564,0.047251445,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,826,272,1,pdgn,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,12,15,112,1,16,1
94098.txt,https://www.elron.ee,19,www.elron.ee,12,0,ee,100,1,0.0005336,0.0740037,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,931,2155,1,lron,80,80,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,4,2,6,49,0,6,1
476358.txt,https://www.bischberg.de,23,www.bischberg.de,16,0,de,100,1,0.0326503,0.047119913,2,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,449,5719,1,bischberg,100,100,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,14,13,6,45,0,26,1
mw75720.txt,http://www.stmfl.com,19,www.stmfl.com,13,0,com,75,1,0.5229071,0.057890536,3,1,0,0,0,7,0.368,0,0,0,0,0,1,0.053,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
